"CRN","Subject","Course","Section","Title","Credits","MeetingType","Time","Days","Location","DateRange","ScheduleType","Instructors"
"10263","AL","102","A1","Academic Literacies","3.000","Class","9:40 am - 11:30 am","M","Fac.of Arts and Social Sci. 1001","Sep 28, 2026 - Dec 31, 2026","1st del","Ali Nihat Eken (P)"
"10263","AL","102","A1","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","T","Fac.of Arts and Social Sci. 1103","Sep 28, 2026 - Dec 31, 2026","2nd del","Ali Nihat Eken (P)"
"10267","AL","102","A2","Academic Literacies","3.000","Class","9:40 am - 11:30 am","M","Fac.of Arts and Social Sci. 1079","Sep 28, 2026 - Dec 31, 2026","1st del","Naime Meltem Aygüneş (P)"
"10267","AL","102","A2","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","T","Fac.of Arts and Social Sci. 1102","Sep 28, 2026 - Dec 31, 2026","2nd del","Naime Meltem Aygüneş (P)"
"10270","AL","102","A3","Academic Literacies","3.000","Class","9:40 am - 11:30 am","M","Sabancı Business School G050","Sep 28, 2026 - Dec 31, 2026","1st del","Deniz Kurtoğlu Eken (P)"
"10270","AL","102","A3","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","T","Fac.of Arts and Social Sci. 1080","Sep 28, 2026 - Dec 31, 2026","2nd del","Deniz Kurtoğlu Eken (P)"
"10271","AL","102","A4","Academic Literacies","3.000","Class","9:40 am - 11:30 am","M","Fac.of Arts and Social Sci. G056","Sep 28, 2026 - Dec 31, 2026","1st del","Ekrem Sabit Şimşek (P)"
"10271","AL","102","A4","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","T","Fac.of Arts and Social Sci. 1079","Sep 28, 2026 - Dec 31, 2026","2nd del","Ekrem Sabit Şimşek (P)"
"12593","AL","102","A5","Academic Literacies","3.000","Class","9:40 am - 11:30 am","M","Fac.of Arts and Social Sci. 1096","Sep 28, 2026 - Dec 31, 2026","1st del","Tuğçe Gürer (P)"
"12593","AL","102","A5","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","T","Sabancı Business School G098","Sep 28, 2026 - Dec 31, 2026","2nd del","Tuğçe Gürer (P)"
"10273","AL","102","B1","Academic Literacies","3.000","Class","8:40 am - 10:30 am","W","Fac.of Arts and Social Sci. 1099","Sep 28, 2026 - Dec 31, 2026","1st del","Ali Nihat Eken (P)"
"10273","AL","102","B1","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","R","Fac.of Arts and Social Sci. 1089","Sep 28, 2026 - Dec 31, 2026","2nd del","Ali Nihat Eken (P)"
"10274","AL","102","B2","Academic Literacies","3.000","Class","8:40 am - 10:30 am","W","Fac.of Arts and Social Sci. 1079","Sep 28, 2026 - Dec 31, 2026","1st del","Naime Meltem Aygüneş (P)"
"10274","AL","102","B2","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","R","Fac.of Arts and Social Sci. 1097","Sep 28, 2026 - Dec 31, 2026","2nd del","Naime Meltem Aygüneş (P)"
"10275","AL","102","B3","Academic Literacies","3.000","Class","8:40 am - 10:30 am","W","Sabancı Business School G041","Sep 28, 2026 - Dec 31, 2026","1st del","Deniz Kurtoğlu Eken (P)"
"10275","AL","102","B3","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","R","Sabancı Business School G041","Sep 28, 2026 - Dec 31, 2026","2nd del","Deniz Kurtoğlu Eken (P)"
"10276","AL","102","B4","Academic Literacies","3.000","Class","8:40 am - 10:30 am","W","Fac.of Arts and Social Sci. 1101","Sep 28, 2026 - Dec 31, 2026","1st del","Ekrem Sabit Şimşek (P)"
"10276","AL","102","B4","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","R","Fac.of Arts and Social Sci. 1099","Sep 28, 2026 - Dec 31, 2026","2nd del","Ekrem Sabit Şimşek (P)"
"12594","AL","102","B5","Academic Literacies","3.000","Class","8:40 am - 10:30 am","W","Sabancı Business School G013","Sep 28, 2026 - Dec 31, 2026","1st del","Tuğçe Gürer (P)"
"12594","AL","102","B5","Academic Literacies","3.000","Class","11:40 am - 12:30 pm","R","Sabancı Business School G042","Sep 28, 2026 - Dec 31, 2026","2nd del","Tuğçe Gürer (P)"
"10280","AL","102","C1","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","T","Fac.of Arts and Social Sci. 1103","Sep 28, 2026 - Dec 31, 2026","2nd del","Ali Nihat Eken (P)"
"10280","AL","102","C1","Academic Literacies","3.000","Class","9:40 am - 10:30 am","R","Fac.of Arts and Social Sci. G052","Sep 28, 2026 - Dec 31, 2026","1st del","Ali Nihat Eken (P)"
"10281","AL","102","C2","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","T","Fac.of Arts and Social Sci. 1102","Sep 28, 2026 - Dec 31, 2026","2nd del","Naime Meltem Aygüneş (P)"
"10281","AL","102","C2","Academic Literacies","3.000","Class","9:40 am - 10:30 am","R","Fac.of Arts and Social Sci. 1080","Sep 28, 2026 - Dec 31, 2026","1st del","Naime Meltem Aygüneş (P)"
"10283","AL","102","C3","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","T","Fac.of Arts and Social Sci. 1080","Sep 28, 2026 - Dec 31, 2026","2nd del","Deniz Kurtoğlu Eken (P)"
"10283","AL","102","C3","Academic Literacies","3.000","Class","9:40 am - 10:30 am","R","Sabancı Business School G056","Sep 28, 2026 - Dec 31, 2026","1st del","Deniz Kurtoğlu Eken (P)"
"10284","AL","102","C4","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","T","Fac.of Arts and Social Sci. 1101","Sep 28, 2026 - Dec 31, 2026","2nd del","Ekrem Sabit Şimşek (P)"
"10284","AL","102","C4","Academic Literacies","3.000","Class","9:40 am - 10:30 am","R","Fac.of Arts and Social Sci. 1101","Sep 28, 2026 - Dec 31, 2026","1st del","Ekrem Sabit Şimşek (P)"
"12595","AL","102","C5","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","T","Sabancı Business School G098","Sep 28, 2026 - Dec 31, 2026","2nd del","Tuğçe Gürer (P)"
"12595","AL","102","C5","Academic Literacies","3.000","Class","9:40 am - 10:30 am","R","Sabancı Business School G098","Sep 28, 2026 - Dec 31, 2026","1st del","Tuğçe Gürer (P)"
"10286","AL","102","D1","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. 1096","Sep 28, 2026 - Dec 31, 2026","1st del","Ali Nihat Eken (P)"
"10286","AL","102","D1","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Fac.of Arts and Social Sci. 1089","Sep 28, 2026 - Dec 31, 2026","2nd del","Ali Nihat Eken (P)"
"10287","AL","102","D2","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. 1079","Sep 28, 2026 - Dec 31, 2026","1st del","Naime Meltem Aygüneş (P)"
"10287","AL","102","D2","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Fac.of Arts and Social Sci. 1097","Sep 28, 2026 - Dec 31, 2026","2nd del","Naime Meltem Aygüneş (P)"
"10288","AL","102","D3","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. G043","Sep 28, 2026 - Dec 31, 2026","1st del","Deniz Kurtoğlu Eken (P)"
"10288","AL","102","D3","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Sabancı Business School G041","Sep 28, 2026 - Dec 31, 2026","2nd del","Deniz Kurtoğlu Eken (P)"
"10289","AL","102","D4","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. G050","Sep 28, 2026 - Dec 31, 2026","1st del","Ekrem Sabit Şimşek (P)"
"10289","AL","102","D4","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Fac.of Arts and Social Sci. 1081","Sep 28, 2026 - Dec 31, 2026","2nd del","Ekrem Sabit Şimşek (P)"
"12596","AL","102","D5","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Sabancı Business School G045","Sep 28, 2026 - Dec 31, 2026","1st del","Tuğçe Gürer (P)"
"12596","AL","102","D5","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Sabancı Business School G042","Sep 28, 2026 - Dec 31, 2026","2nd del","Tuğçe Gürer (P)"
