"Political Science and International Relations","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
Requirement:facultyCourses,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Requirement:credits,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Requirement:ECTS,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
IF 100,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
MATH 101,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
CIP 101N,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
NS 101,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
SPS 101,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
TLL 101,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
AL 102,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
MATH 102,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
NS 102,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
SPS 102,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
TLL 102,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HIST 191,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HIST 192,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 201,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
PROJ 201,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 202,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 207,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
SPS 303,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 304,D,D,D,D,D,D,D,D,,,,,,,,,,,
HUM 311,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 312,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 317,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 321,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 322,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 324,D,D,D,D,D,D,D,D,,,,,,,,,,,
HUM 371,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ECON 202,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
IR 201,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
POLS 250,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
POLS 301,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
POLS 352,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
POLS 401,R,R,R,R,R,R,R,R,R,,,,,,,,,,
POLS 473,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PROJ 300,R,R,R,,,,,,,,,,,,,,,,
PSIR 300,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PSIR 311,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PSIR 401,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
SPS 311,R,R,R,R,R,R,R,R,R,,,,,,,,,,
LAW 312,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI
POLS 251,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI
POLS 353,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI
