"Data Science and Analytics","202501","202502","202503","202601"
Requirement:facultyCourses,5,5,5,5
Requirement:credits,156,156,156,156
Requirement:ECTS,300,300,300,300
IF 100,D,D,D,D
MATH 101,D,D,D,D
CIP 101N,D,D,D,D
NS 101,D,D,D,D
SPS 101,D,D,D,D
TLL 101,D,D,D,D
AL 102,D,D,D,D
MATH 102,D,D,D,D
NS 102,D,D,D,D
SPS 102,D,D,D,D
TLL 102,D,D,D,D
HIST 191,D,D,D,D
HIST 192,D,D,D,D
HUM 201,D,D,D,D
PROJ 201,D,D,D,D
HUM 202,D,D,D,D
HUM 207,D,D,D,D
SPS 303,D,D,D,D
HUM 311,D,D,D,D
HUM 312,D,D,D,D
HUM 317,D,D,D,D
HUM 321,D,D,D,D
HUM 322,D,D,D,D
HUM 371,D,D,D,D
CS 412,R,R,R,R
DSA 201,R,R,R,R
DSA 210,R,R,R,R
DSA 301,R,R,R,R
DSA 395,R,R,R,R
DSA 492,R,R,R,R
ECON 301,R,R,R,R
MATH 203,R,R,R,R
MATH 212,R,R,R,R
MATH 306,R,R,R,R
OPIM 390,R,R,R,R
BIO 310,C,C,C,C
CS 306,C,C,C,C
CS 404,C,C,C,C
CS 414,C,C,C,C
CS 445,C,C,C,C
CS 455,C,C,C,C
DSA 428,C,C,C,C
DSA 440,C,C,C,C
DSA 473,C,C,C,C
ECON 401,C,C,C,C
ECON 494,C,C,C,C
ECON 495,C,C,C,C
EE 311,C,C,C,C
EE 417,C,C,C,C
ENS 208,C,C,C,C
ENS 210,C,C,C,C
ENS 211,C,C,C,C
ENS 311,C,C,C,C
IE 305,C,C,C,C
IE 311,C,C,C,C
IE 451,C,C,C,C
MATH 204,C,C,C,C
MKTG 414,C,C,C,C
OPIM 302,C,C,C,C
OPIM 402,C,C,C,C
OPIM 408,C,C,C,C
OPIM 410,C,C,C,C
PSIR 311,C,C,C,C
PSY 202,C,C,C,C
PSY 306,C,C,C,C
TS 320,C,C,C,C
VA 345,C,C,C,C
CS 415,A,A,A,A
CS 440,A,A,A,A
CS 449,A,A,A,A
CS 48011,A,A,A,A
CS 48012,A,A,A,A
ECON 201,A,A,A,A
ECON 204,A,A,A,A
ECON 321,A,A,A,A
ECON 323,A,A,A,A
ECON 430,A,A,A,A
ECON 435,A,A,A,A
EE 410,A,A,A,A
EE 48009,A,A,A,A
FIN 301,A,A,A,A
FIN 401,A,A,A,A
FIN 402,A,A,A,A
IE 312,A,A,A,A
IE 404,A,A,A,A
IE 405,A,A,A,A
IE 413,A,A,A,A
IE 48002,A,A,A,A
IR 391,A,A,A,A
MATH 484,A,A,A,A
MGMT 404,A,A,A,A
MGMT 421,A,A,A,A
MKTG 401,A,A,A,A
MKTG 404,A,A,A,A
MKTG 405,A,A,A,A
MKTG 409,A,A,A,A
MKTG 410,A,A,A,A
MKTG 413,A,A,A,A
OPIM 404,A,A,A,A
OPIM 407,A,A,A,A
OPIM 409,A,A,A,A
POLS 404,A,A,A,A
PSIR 401,A,A,A,A
PSY 304,A,A,A,A
PSY 305,A,A,A,A
PSY 340,A,A,A,A
PSY 407,A,A,A,A
PSY 412,A,A,A,A
PSY 452,A,A,A,A
VA 439,A,A,A,A
ACC 201,F,F,F,F
ACC 301,F,F,F,F
ACC 405,F,F,F,F
ANTH 214,F,F,F,F
ANTH 255,F,F,F,F
ANTH 321,F,F,F,F
ANTH 326,F,F,F,F
ANTH 340,F,F,F,F
ANTH 468,F,F,F,F
BIO 301,F,F,F,F
BIO 303,F,F,F,F
BIO 304,F,F,F,F
BIO 306,F,F,F,F
BIO 308,F,F,F,F
BIO 321,F,F,F,F
BIO 322,F,F,F,F
BIO 330,F,F,F,F
BIO 332,F,F,F,F
BIO 335,F,F,F,F
BIO 363,F,F,F,F
BIO 407,F,F,F,F
BIO 415,F,F,F,F
