"Action Research and Transformation - Non Thesis","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
Requirement:credits,30,30,30,30,30,30,30,30,30,30,30,30,30
Requirement:ECTS,90,90,90,90,90,90,90,90,90,90,90,90,90
Requirement:courses,11,11,11,11,11,11,11,11,11,11,11,11,11
MART 820,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject
MART 501,RRequired,RRequired,RRequired,,,,,,,,,,
MART 502,RRequired,RRequired,RRequired,,,,,,,,,,
MART 805,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 806,RRequired,RRequired,RRequired,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 807,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 808,RRequired,RRequired,RRequired,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 809,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 503,CElective,CElective,CElective,,,,,,,,,,
MART 504,CElective,CElective,CElective,,,,,,,,,,
MART 810,CElective,CElective,CElective,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 811,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 812,CElective,CElective,CElective,,,,,,,,,,
MART 816,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 818,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 819,CElective,CElective,CElective,CElective,CElective,CElective,,,,,,,
MART 801,,,,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 802,,,,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 803,,,,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
MART 804,,,,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 821,,,,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 822,,,,,,,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 823,,,,,,,CElective,CElective,CElective,CElective,CElective,CElective,CElective
MART 824,,,,,,,,,,CElective,CElective,CElective,CElective
MART 825,,,,,,,,,,CElective,CElective,CElective,CElective
