"Digital Transformation in Industry - Non Thesis","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
Requirement:credits,30,30,30,30,30,30,30,30,30,30
Requirement:ECTS,90,90,90,90,90,90,90,90,90,90
Requirement:courses,13,13,13,13,13,13,13,13,13,13
DT 592,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject,PProject
DT 501,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 502,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 503,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 504,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 511,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 512,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 513,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 514,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 521,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 522,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 523,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 524,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 532,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 533,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
DT 541,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore,CCore
