"Marketing - Non Thesis","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
Requirement:credits,30,30,30,30,30,30,30,30,30,31
Requirement:ECTS,90,90,90,90,90,90,90,90,90,90
Requirement:courses,11,11,11,11,11,11,11,11,11,12
MIM 899,P,P,P,P,P,P,P,P,P,P
MIM 801,R,R,R,R,R,R,R,R,R,R
MIM 804,R,R,R,R,R,R,R,R,R,R
MIM 806,R,R,R,R,R,R,R,R,R,C
MIM 808,R,R,R,R,R,R,R,R,R,R
MIM 809,R,R,R,R,R,R,R,R,R,R
MIM 810,R,R,R,R,R,R,R,R,R,R
MIM 811,R,R,R,R,R,R,R,R,R,R
MIM 825,R,R,R,R,R,R,R,R,R,R
MIM 857,R,R,R,R,R,R,R,R,R,R
MIM 805,C,C,C,C,C,C,C,C,C,C
MIM 807,C,C,C,C,C,C,C,C,C,C
MIM 816,C,C,C,C,C,C,C,C,C,C
MIM 819,C,C,C,C,C,C,C,C,C,C
MIM 823,C,C,C,C,C,C,C,C,C,C
MIM 824,C,C,C,C,C,C,C,C,C,C
MIM 834,C,C,C,C,C,C,C,C,C,C
MIM 841,C,C,C,C,C,C,C,C,C,R
MIM 860,C,C,C,C,C,C,C,C,C,C
MIM 861,C,C,C,C,C,C,C,C,C,C
MIM 862,C,C,C,C,C,C,C,C,C,C
MIM 863,C,C,C,C,C,C,C,C,C,C
MIM 871,C,C,C,C,C,C,C,C,C,C
MIM 813,,,,C,C,C,C,C,C,C
MIM 830,,,,C,C,C,C,C,C,C
MIM 878,,,,C,C,C,C,C,C,C
MIM 812,,,,,,,C,C,C,C
MIM 814,,,,,,,C,C,C,C
