"Experimental Psychology - With Master's Degree","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
Requirement:credits,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Requirement:ECTS,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Requirement:courses,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11
PSY 799,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT
GR 501S,R,R,R,R,R,R,F,F,F,F,F,F,F,F,F,F
GR 502S,R,R,R,R,R,R,F,F,F,F,F,F,F,F,F,F
GR 503S,R,R,R,R,R,R,F,F,F,F,F,F,F,F,F,F
GR 555S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PSY 501,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PSY 502,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PSY 503,R,R,R,R,R,R,R,R,R,C,C,C,C,C,C,C
PSY 690,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PSY 510,C,C,C,C,C,C,,,,,,,,,,
PSY 511,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 512,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 514,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 515,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 516,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 524,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 552,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
PSY 620,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ANTH 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ANTH 526,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ANTH 568,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 506,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 526,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 527,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 528,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 529,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 531,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 533,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 537,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 539,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BAN 872,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 501,F,,,,,,,,,,,,,,,
BIO 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 504,F,F,F,F,,,,,,,,,,,,
BIO 511,F,F,F,F,,,,,,,,,,,,
BIO 512,F,F,F,F,,,,,,,,,,,,
BIO 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 523,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
BIO 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 541,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 542,F,F,F,F,,,,,,,,,,,,
BIO 543,F,F,F,F,,,,,,,,,,,,
BIO 544,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 545,F,F,F,F,,,,,,,,,,,,
BIO 546,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 550,F,F,F,F,,,,,,,,,,,,
BIO 560,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 567,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 568,F,F,F,F,F,F,,,,,,,,,,
BIO 569,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 570,F,F,F,F,,,,,,,,,,,,
BIO 58000,F,F,F,F,F,,,,,,,,,,,
BIO 58001,F,F,F,F,,,,,,,,,,,,
BIO 58002,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 58003,F,F,F,F,,,,,,,,,,,,
BIO 58004,F,F,F,F,,,,,,,,,,,,
BIO 58005,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 58006,F,F,F,F,F,,,,,,,,,,,
BIO 58007,F,F,F,F,F,,,,,,,,,,,
BIO 601,F,F,F,,,,,,,,,,,,,
BIO 602,F,F,F,F,,,,,,,,,,,,
BIO 606,F,F,F,F,,,,,,,,,,,,
BIO 610,F,F,F,F,,,,,,,,,,,,
BIO 631,F,F,F,F,,,,,,,,,,,,
BIO 633,F,F,F,F,,,,,,,,,,,,
BIO 634,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 635,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 636,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 642,F,F,F,F,,,,,,,,,,,,
BIO 643,F,F,F,F,,,,,,,,,,,,
BIO 644,F,F,F,F,,,,,,,,,,,,
BIO 645,F,F,F,F,,,,,,,,,,,,
BIO 676,F,F,F,F,,,,,,,,,,,,
BIO 751,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 752,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
