CRN,Subject,Course,Section,Title,MeetingType,Registration Dates,Levels,Faculty,campus,scheduleType,instructionalMethod,description,descriptionTR,AssociatedTerm,Credits,CreditsECTS,EngnrECTS,BasicECTS,ECTSExceptionAdmitBefore,ECTSException,ECTSExceptionEngnr,ECTSExceptionBasic,CreditLimit,AllowedLevels,allowedFaculties,deniedFaculties,allowedPrograms,allowedClasses,Time,Days,Where,DateRange,ScheduleType,Instructors
10263,AL,102,A1,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1103,"Sep 28, 2026 - Dec 31, 2026",2nd del,Ali Nihat Eken
10263,AL,102,A1,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1103,"Sep 28, 2026 - Dec 31, 2026",2nd del,Ali Nihat Eken
10267,AL,102,A2,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1102,"Sep 28, 2026 - Dec 31, 2026",2nd del,Naime Meltem Aygüneş
10267,AL,102,A2,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1102,"Sep 28, 2026 - Dec 31, 2026",2nd del,Naime Meltem Aygüneş
10270,AL,102,A3,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1080,"Sep 28, 2026 - Dec 31, 2026",2nd del,Deniz Kurtoğlu Eken
10270,AL,102,A3,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1080,"Sep 28, 2026 - Dec 31, 2026",2nd del,Deniz Kurtoğlu Eken
10271,AL,102,A4,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1079,"Sep 28, 2026 - Dec 31, 2026",2nd del,Tuğçe Gürer
10271,AL,102,A4,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1079,"Sep 28, 2026 - Dec 31, 2026",2nd del,Tuğçe Gürer
10273,AL,102,B1,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,R,Fac.of Arts and Social Sci. 1089,"Sep 28, 2026 - Dec 31, 2026",2nd del,Ali Nihat Eken
10273,AL,102,B1,Academic Literacies,Lecture,No dates available,Doctorate:Undeclared:Scientific Preparatory:Undergraduate:Masters:Special Student:Exchange - Erasmus Mundus MA:Exchange - Erasmus Mundus DR:Exchange - Erasmus Mundus UG,SL,Sabancı University,Lecture,TR,"The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators.","Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar.  Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için  araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur.  Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar.  Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar.",202601,3,5,0,0,,,,,,Undergraduate,,,,,11:40 am - 12:30 pm,R,Fac.of Arts and Social Sci. 1089,"Sep 28, 2026 - Dec 31, 2026",2nd del,Ali Nihat Eken
