ANALY-MINOR,"Business Analytics Minor"
ARTTC-MINOR,"Art Theory and Criticism Minor"
BACULT,"Cultural Studies"
BACULT-DM,"Cultural Studies"
BAECON,"Economics"
BAECON-DM,"Economics"
BAIS,"International Studies"
BAIS-DM,"International Studies"
BAMAN,"Management"
BAMAN-DM,"Management"
BAPOLS-DM,"Political Science"
BAPSIR,"Political Science and International Relations"
BAPSIR-DM,"Political Science and International Relations"
BAPSY,"Psychology"
BAPSY-DM,"Psychology"
BASPS,"Political Science (Previous Name: Social and Political Sciences)"
BAVACD,"Visual Arts and Visual Communications Design"
BAVACD-DM,"Visual Arts and Visual Communications Design"
BSBIO,"Molecular Biology, Genetics and Bioengineering (Pre. Name: Biological Sciences and Bioengineering)"
BSBIO-DM,"Molecular Biology, Genetics and Bioengineering"
BSCS,"Computer Science and Engineering"
BSCS-DM,"Computer Science and Engineering"
BSDSA,"Data Science and Analytics"
BSDSA-DM,"Data Science and Analytics"
BSEE,"Electronics Engineering"
BSEE-DM,"Electronics Engineering"
BSEL,"Microelectronics"
BSE-MINOR,"Battery Science and Engineering Minor"
BSIE-DM,"Industrial Engineering"
BSMAT,"Materials Science and Nano Engineering (Previous Name: Materials Science and  Engineering)"
BSMAT-DM,"Materials Science and Nano Engineering"
BSME,"Mechatronics Engineering"
BSME-DM,"Mechatronics Engineering"
BSMS,"Industrial Engineering (Previous Name: Manufacturing Systems Engineering)"
BSTE,"Telecommunications"
CHEM-MINOR,"Chemistry Minor"
CONF-MINOR,"Conflict Analysis &amp; Resolution Minor"
DECB-MINOR,"Decision and Behavior Minor"
ENERG-MINOR,"Energy Minor"
ENTREP-MINOR,"Entrepreneurship Minor"
FIN-MINOR,"Finance Minor"
GENDER-MINOR,"Gender and Women's Studies (Previous Name: Gender Studies) Minor"
IS-MINOR,"International Studies Minor"
MABP-NT,"Brand Practice-Non Thesis"
MACULT,"Cultural Studies - With Thesis"
MACULT-NT,"Cultural Studies - Non Thesis"
MAECON,"Economics - With Thesis"
MAECON-NT,"Economics - Non Thesis"
MAEURO,"European Studies - With Thesis"
MAEURO-NT,"European Studies - Non Thesis"
MAHIST,"History - With Thesis"
MAHIST-NT,"History - Non Thesis"
MAIR-NT,"International Relations - Non Thesis"
MAMRES-NT,"Management Research - Non Thesis"
MAPP,"Public Policy - With Thesis"
MAPS,"Political Science  - With Thesis"
MAPSCONF,"Conflict Analysis and Resolution - With Thesis"
MAPSCONF-NT,"Conflict Analysis and Resolution - Non Thesis"
MAPS-NT,"Political Science - Non Thesis"
MATH-MINOR,"Mathematics Minor"
MATS,"Turkish Studies - With Thesis"
MATS-NT,"Turkish Studies - Non Thesis"
MAVACD,"Visual Arts and Visual Communications Design - With Thesis"
MAVACD-NT,"Visual Arts and Visual Communications Design - Non Thesis"
MBAEXEC-NT,"Executive MBA - Non Thesis"
MBA-MSMIT,"MBA-Management Studies"
MBA-MSMITZ,"MBA-Logistics and Supply Chain Management"
MBA-NT,"MBA - Non Thesis"
MBA-NT-YP,"MBA - Non Thesis"
MBA-P-NT,"Professional MBA - Non Thesis"
MFAVACD,"Visual Arts and Visual Communications Design - With Thesis"
MIF-NT,"Masters in Finance - Non Thesis"
MKTG-MINOR,"Marketing Minor"
MSART-NT,"Action Research and Transformation - Non Thesis"
MSBA,"Business Analytics - With Thesis"
MSBA-NT,"Business Analytics - Non Thesis"
MSBIO,"Molecular Biology,Genetics and Bioengineering-With Thesis (Pre.Name:Biological Sciences and Bioeng.)"
MSBIO-LFI,"Leaders for Industry Biological Sciences and Bioengineering - Non Thesis"
MSCS,"Computer Science and Engineering - With Thesis"
MSCS-LFI,"Leaders for Industry Computer Science and Engineering - Non Thesis"
MSCYSEC,"Cyber Security - With Thesis"
MSCYSEC-NT,"Cyber Security - Non Thesis"
MSDA-NT,"Data Analytics-Non Thesis"
MSDS,"Data Science - With Thesis"
MSDT-NT,"Digital Transformation in Industry - Non Thesis"
MSEE,"Electronics Engineering - With Thesis"
MSEECS,"Electronics Engineering and Computer Science - With Thesis"
MSEECS-LFI,"Leaders for Industry Electronics Engineering and Computer Science - Non Thesis"
MSEE-LFI,"Leaders for Industry Electronics Engineering - Non Thesis"
MSETM,"Energy Technologies and Management-With Thesis"
MSETM-NT,"Energy Technologies and Management-Non Thesis"
MSIE,"Industrial Engineering - With Thesis"
MSIE-LFI,"Leaders for Industry Industrial Engineering - Non Thesis"
MSIT,"Information Technology - Non Thesis"
MSITM,"Information Technologies in Management - Non Thesis"
MSMAT,"Materials Science and Nano Engineering - With Thesis (Pre.Name: Materials Science and Engineering)"
MSMATH,"Mathematics - With Thesis"
MSMAT-LFI,"Leaders for Industry Materials Science and Engineering - Non Thesis"
MSME,"Mechatronics Engineering - With Thesis"
MSME-LFI,"Leaders for Industry Mechatronics Engineering - Non Thesis"
MSMFE,"Manufacturing Engineering - With Thesis"
MSMFE-NT,"Manufacturing Engineering - Non Thesis"
MSMIM-NT,"Marketing - Non Thesis"
MSNANOT,"Nanotechnology-With Thesis"
MSNANOT-NT,"Nanotechnology-Non Thesis"
MSPHYS,"Physics - With Thesis"
MSPHYS-NT,"Physics - Non Thesis"
MSPSY,"Psychology - With Thesis"
MSPSY-NT,"Psychology - Non Thesis"
PHDBIO,"Molecular Biology, Genetics and Bioengineering (Prev. Name: Biological Sciences and Bioengineering)"
